Date,Delhi,Mumbai,Chennai,Kolkata
NA,86.67,94.14,91.43,89.79
NA,98.42,106.62,102.59,101.56
NA,98.07,106.23,102.25,101.19
NA,97.72,105.86,101.92,100.84
NA,97.37,105.49,101.59,100.49
NA,97.02,105.12,101.25,100.14
NA,96.67,104.75,100.92,99.78
NA,96.32,104.38,100.59,99.43
NA,95.97,104,100.25,99.08
NA,95.62,103.63,99.92,98.73
NA,95.27,103.26,99.59,98.38
NA,94.92,102.89,99.26,98.03
NA,94.57,102.52,98.92,97.68
NA,94.22,102.15,98.59,97.33
NA,93.87,101.78,98.26,96.98
NA,93.52,101.4,97.93,96.63
NA,93.17,101.03,97.59,96.28
NA,92.82,100.66,97.26,95.93
NA,92.47,100.29,96.93,95.58
NA,92.12,99.92,96.6,95.23
NA,91.77,99.55,96.26,94.88
NA,91.42,99.17,95.93,94.53
NA,91.07,98.8,95.59,94.17
NA,90.77,98.48,95.31,93.87
NA,90.47,98.16,95.02,93.57
NA,90.17,97.84,94.74,93.27
NA,89.87,97.52,94.45,92.97
NA,89.57,97.21,94.17,92.67
NA,89.32,96.94,93.93,92.42
NA,89.07,96.68,93.69,92.17
NA,88.82,96.41,93.46,91.92
NA,88.62,96.19,93.26,91.71
NA,88.77,96.33,93.38,91.84
NA,88.92,96.48,93.52,91.98
NA,89.07,96.64,93.66,92.13
NA,89.27,96.84,93.84,92.32
NA,89.47,97.04,94.02,92.57
NA,89.67,97.24,94.2,92.82
NA,89.87,97.45,94.39,93.02
NA,89.72,97.29,94.24,92.81
NA,89.88,97.46,94.39,92.97
NA,89.62,97.18,94.15,92.65
NA,89.53,97.09,94.06,92.5
NA,89.36,96.91,93.91,92.27
NA,89.18,96.72,93.72,92.03
NA,88.9,96.42,93.46,91.75
NA,88.65,96.16,93.23,91.5
NA,88.3,95.79,92.89,91.15
NA,88.23,95.72,92.83,91.08
NA,87.97,95.44,92.58,90.82
NA,87.69,95.14,92.31,90.54
NA,87.41,94.84,92.04,90.25
NA,87.28,94.7,91.92,90.12
NA,86.98,94.39,91.64,89.83
NA,86.75,94.15,91.42,89.6
NA,86.47,93.85,91.15,89.32
NA,86.22,93.58,90.92,89.07
NA,85.95,93.3,90.66,88.8
NA,85.66,92.99,90.38,88.51
NA,85.38,92.69,90.12,88.23
NA,85.15,92.45,89.9,88
NA,84.89,92.17,89.65,87.74
NA,84.61,91.87,89.39,87.46
NA,84.32,91.57,89.11,87.16
NA,84.07,91.3,88.87,86.91
NA,83.8,91.01,88.62,86.64
NA,83.51,90.71,88.34,86.35
NA,83.22,90.4,88.07,86.06
NA,82.95,90.11,87.81,85.79
NA,82.61,89.75,87.49,85.45
NA,82.36,89.48,87.25,85.2
NA,82.06,89.17,86.96,84.9
NA,81.73,88.82,86.65,84.57
NA,81.42,88.49,86.35,84.26
NA,81.12,88.19,86.09,83.98
NA,80.91,87.98,85.9,83.78
NA,80.73,87.81,85.75,83.61
NA,80.87,87.96,85.88,83.75
NA,81.1,88.2,86.1,83.98
NA,81.3,88.42,86.29,84.18
NA,81.47,88.6,86.45,84.35
NA,81.32,88.44,86.31,84.2
NA,80.97,88.06,85.98,84.56
NA,80.6,87.67,85.63,84.19
NA,80.27,87.32,85.31,83.86
NA,79.95,86.98,85.01,83.54
NA,79.7,86.72,84.77,83.29
NA,79.35,86.34,84.44,82.94
NA,79.06,86.04,84.16,82.65
NA,78.74,85.7,83.86,82.33
NA,78.38,85.32,83.52,81.96
NA,78.03,84.94,83.18,81.61
NA,77.73,84.63,82.9,81.31
NA,77.48,84.36,82.66,81.06
NA,77.13,83.99,82.33,80.71
NA,76.83,83.67,82.04,80.41
NA,76.48,83.3,81.71,80.08
NA,76.23,83.03,81.47,79.83
NA,75.88,82.66,81.14,79.48
NA,75.63,82.4,80.9,79.23
NA,75.38,82.13,80.67,78.97
NA,75.13,81.87,80.43,78.72
NA,74.88,81.6,80.19,78.47
NA,74.63,81.34,79.95,78.22
NA,74.38,81.07,79.72,77.97
NA,74.12,80.78,79.46,77.7
NA,73.87,80.51,79.21,77.44
NA,73.61,80.23,78.97,77.18
NA,73.32,79.93,78.69,76.89
NA,73.07,79.66,78.45,76.64
NA,72.84,79.42,78.24,76.41
NA,72.65,79.22,78.06,76.22
NA,72.42,78.97,77.84,75.99
NA,72.13,78.66,77.56,75.7
NA,71.86,78.38,77.3,75.43
NA,71.62,78.12,77.08,75.19
NA,71.41,77.9,76.88,74.98
NA,71.25,77.73,76.72,74.82
NA,71.07,77.54,76.55,74.64
NA,70.88,77.34,76.37,74.45
NA,70.68,77.11,76.17,74.24
NA,70.46,76.86,75.95,73.99
NA,70.53,76.93,76.01,74.05
NA,70.63,77.04,76.1,74.15
NA,70.71,77.12,76.18,74.23
NA,70.8,77.22,76.27,74.32
NA,70.94,77.36,76.4,74.46
NA,71.1,77.53,76.55,74.62
NA,71.28,77.73,76.72,74.8
NA,71.43,77.87,76.85,74.94
NA,71.58,78.02,76.99,75.09
NA,71.82,78.27,77.21,75.32
NA,72.02,78.48,77.4,75.52
NA,72.37,78.85,77.73,75.87
NA,72.56,79.05,77.91,76.06
NA,72.78,79.29,78.12,76.28
NA,72.93,79.45,78.26,76.43
NA,73.05,79.57,78.38,76.55
NA,73.16,79.69,78.48,76.66
NA,73.27,79.81,78.58,76.77
NA,73.4,79.94,78.71,76.9
NA,73.56,80.11,78.86,77.06
NA,73.56,80.11,78.86,77.04
NA,81.94,80.11,78.86,77.04
NA,81.79,79.97,78.73,76.91
NA,81.64,79.83,78.6,76.77
NA,81.52,79.71,78.5,76.67
NA,81.35,79.56,78.37,76.49
NA,81.18,79.4,78.22,76.33
NA,81.05,79.27,78.11,76.17
NA,80.94,79.17,78.01,76.05
NA,80.78,79.05,77.91,75.89
NA,80.53,78.83,77.72,75.64
NA,80.4,78.71,77.61,75.52
NA,80.19,78.51,77.44,75.34
NA,80.02,78.34,77.29,75.18
NA,79.88,78.22,77.17,75.06
NA,79.4,77.76,76.77,74.63
NA,78.85,77.24,76.3,74.14
NA,78.27,76.69,75.8,73.61
NA,77.67,76.11,75.29,73.07
NA,77.06,75.53,74.77,72.53
NA,76.43,74.93,74.23,71.96
NA,75.79,74.32,73.69,71.38
NA,75.19,73.75,73.17,70.84
NA,74.62,73.21,72.69,70.33
NA,74.03,72.64,72.18,69.8
NA,73.39,72.03,71.64,69.23
NA,72.81,71.48,71.14,68.7
NA,72.22,70.92,70.64,68.17
NA,71.62,70.35,70.13,67.63
NA,71.17,69.92,69.74,67.23
NA,70.59,69.37,69.25,66.71
NA,69.99,68.79,68.74,66.17
NA,69.39,68.21,68.22,65.62
NA,69.39,66.21,68.22,65.62
NA,62.29,66.21,68.22,65.62
NA,62.29,66.21,65.71,65.62
NA,62.29,65.21,65.71,64.62
NA,62.44,65.37,65.87,64.77
NA,62.58,65.51,66.02,64.91
NA,62.74,65.68,66.19,65.07
NA,62.89,65.84,66.35,65.22
NA,63.01,65.97,66.48,65.34
NA,63.26,66.24,66.75,65.59
NA,63.51,66.5,67.01,65.84
NA,63.69,66.69,67.21,66.02
NA,63.81,66.82,67.34,66.14
NA,63.94,66.96,67.47,66.27
NA,64.03,67.05,67.57,66.36
NA,64.1,67.13,67.65,66.43
NA,64.3,67.34,67.86,66.63
NA,64.51,67.6,68.12,66.83
NA,64.6,67.69,68.21,66.92
NA,64.65,67.75,68.27,66.97
NA,64.7,67.8,68.32,67.02
NA,64.77,67.87,68.4,67.09
NA,64.82,67.93,68.45,67.14
NA,64.87,67.98,68.5,67.19
NA,65.07,68.19,68.72,67.39
NA,65.23,68.36,68.89,67.59
NA,65.43,68.57,69.1,67.79
NA,65.68,68.84,69.37,68.04
NA,65.92,69.09,69.63,68.29
NA,66.04,69.22,69.76,68.41
NA,66.09,69.27,69.81,68.46
NA,66.14,69.36,69.89,68.54
NA,66.22,69.42,69.96,68.59
