Date,Delhi,Mumbai,Chennai,Kolkata
21/01/2022,95.41,109.98,101.4,104.67
20/01/2022,95.41,109.98,101.4,104.67
19/01/2022,95.41,109.98,101.4,104.67
18/01/2022,95.41,109.98,101.4,104.67
17/01/2022,95.41,109.98,101.4,104.67
16/01/2022,95.41,109.98,101.4,104.67
15/01/2022,95.41,109.98,101.4,104.67
14/01/2022,95.41,109.98,101.4,104.67
13/01/2022,95.41,109.98,101.4,104.67
12/01/2022,95.41,109.98,101.4,104.67
11/01/2022,95.41,109.98,101.4,104.67
10/01/2022,95.41,109.98,101.4,104.67
09/01/2022,95.41,109.98,101.4,104.67
08/01/2022,95.41,109.98,101.4,104.67
07/01/2022,95.41,109.98,101.4,104.67
06/01/2022,95.41,109.98,101.4,104.67
05/01/2022,95.41,109.98,101.4,104.67
04/01/2022,95.41,109.98,101.4,104.67
03/01/2022,95.41,109.98,101.4,104.67
02/01/2022,95.41,109.98,101.4,104.67
01/01/2022,95.41,109.98,101.4,104.67
31/12/2021,95.41,109.98,101.4,104.67
30/12/2021,95.41,109.98,101.4,104.67
29/12/2021,95.41,109.98,101.4,104.67
28/12/2021,95.41,109.98,101.4,104.67
27/12/2021,95.41,109.98,101.4,104.67
26/12/2021,95.41,109.98,101.4,104.67
25/12/2021,95.41,109.98,101.4,104.67
24/12/2021,95.41,109.98,101.4,104.67
23/12/2021,95.41,109.98,101.4,104.67
22/12/2021,95.41,109.98,101.4,104.67
21/12/2021,95.41,109.98,101.4,104.67
20/12/2021,95.41,109.98,101.4,104.67
19/12/2021,95.41,109.98,101.4,104.67
18/12/2021,95.41,109.98,101.4,104.67
17/12/2021,95.41,109.98,101.4,104.67
16/12/2021,95.41,109.98,101.4,104.67
15/12/2021,95.41,109.98,101.4,104.67
14/12/2021,95.41,109.98,101.4,104.67
13/12/2021,95.41,109.98,101.4,104.67
12/12/2021,95.41,109.98,101.4,104.67
11/12/2021,95.41,109.98,101.4,104.67
10/12/2021,95.41,109.98,101.4,104.67
09/12/2021,95.41,109.98,101.4,104.67
08/12/2021,95.41,109.98,101.4,104.67
07/12/2021,95.41,109.98,101.4,104.67
06/12/2021,95.41,109.98,101.4,104.67
05/12/2021,95.41,109.98,101.4,104.67
04/12/2021,95.41,109.98,101.4,104.67
03/12/2021,95.41,109.98,101.4,104.67
02/12/2021,95.41,109.98,101.4,104.67
01/12/2021,103.97,109.98,101.4,104.67
30/11/2021,103.97,109.98,101.4,104.67
29/11/2021,103.97,109.98,101.4,104.67
28/11/2021,103.97,109.98,101.4,104.67
27/11/2021,103.97,109.98,101.4,104.67
26/11/2021,103.97,109.98,101.4,104.67
25/11/2021,103.97,109.98,101.4,104.67
24/11/2021,103.97,109.98,101.4,104.67
23/11/2021,103.97,109.98,101.4,104.67
22/11/2021,103.97,109.98,101.4,104.67
21/11/2021,103.97,109.98,101.4,104.67
20/11/2021,103.97,109.98,101.4,104.67
19/11/2021,103.97,109.98,101.4,104.67
18/11/2021,103.97,109.98,101.4,104.67
17/11/2021,103.97,109.98,101.4,104.67
16/11/2021,103.97,109.98,101.4,104.67
15/11/2021,103.97,109.98,101.4,104.67
14/11/2021,103.97,109.98,101.4,104.67
13/11/2021,103.97,109.98,101.4,104.67
12/11/2021,103.97,109.98,101.4,104.67
11/11/2021,103.97,109.98,101.4,104.67
10/11/2021,103.97,109.98,101.4,104.67
